"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"C3,C6,C4";"C_0603_1608Metric";3;"0.01uF 50V X7R 0603";;;
2;"K3,K4,K9,K16,K11,K1,K15,K2,K13,K5,K7,K12,K10,K6,K8,K14";"PE014005";16;"PE014005";;;
3;"R16,R12,R2,R8,R6,R5,R10,R18,R19,R4,R9,R11,R3,R15,R1,R7,R17";"R_0402_1005Metric";17;"680R 0402";;;
4;"R14";"R_0603_1608Metric";1;"3.24k 1% 0603";;;
5;"LED17,LED14,LED13,LED1,LED6,LED12,LED7,LED4,LED15,LED8,LED2,LED9,LED5,LED11,LED16,LED3,LED10";"VLMG1500GS08";17;"VLMS1500-GS08";;;
6;"C1,C2";"C_1210_3225Metric";2;"4.7uF 50V X7R 1210";;;
7;"IC4,IC2,IC3";"SOIC127P600X175-16N";3;"ULQ2003ATDQ1";;;
8;"R13";"R_0603_1608Metric";1;"10K 1% 0603";;;
9;"J10";"PJ081BH";1;"PJ-081BH";;;
10;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"TestPoint";;;
11;"F1";"Fuse_1206_3216Metric";1;"3A";;;
12;"D1";"SODFL5026X120N";1;"SK53AFL-TP";;;
13;"F2";"MC000827";1;"MC000827";;;
14;"IC1";"SOIC127P600X170-9N";1;"TPS5450DDA";;;
15;"K17";"214160103";1;"2-1416010-3";;;
16;"L1";"INDPM120120X800N";1;"15uH 5.65A";;;
17;"C5";"CAPPRD530W65D1000H1050";1;"330uF 35V 20mOm";;;
